,Superphenotype,Node_name,Node_type,Phenotype_MIM_number,Gene_MIM_number,Parenthetical
0,GACI2,ABCC6,phenotypeMap.approvedGeneSymbols,614473,603234,
1,SSS4,GNB2,phenotypeMap.approvedGeneSymbols,619464,139390,
2,BMIQ12,PCSK1,phenotypeMap.approvedGeneSymbols,612362,162150,
3,C4AD,C4A,phenotypeMap.approvedGeneSymbols,614380,120810,
4,LWD,SHOX,phenotypeMap.approvedGeneSymbols,127300,312865,
5,LWD,SHOX,phenotypeMap.approvedGeneSymbols,127300,400020,
6,CTX,CYP27A1,phenotypeMap.approvedGeneSymbols,213700,606530,
7,ANXD3,NEPRO,phenotypeMap.approvedGeneSymbols,618853,617089,
8,SEMDX,BGN,phenotypeMap.approvedGeneSymbols,300106,301870,
9,SMMCI,SHH,phenotypeMap.approvedGeneSymbols,147250,600725,
10,MYOCL1,NOL3,phenotypeMap.approvedGeneSymbols,614937,605235,
11,CPPB1,KISS1R,phenotypeMap.approvedGeneSymbols,176400,604161,
12,FACTOR X DEFICIENCY,F10,phenotypeMap.approvedGeneSymbols,227600,613872,
13,HLASA,LARS2,phenotypeMap.approvedGeneSymbols,617021,604544,
14,SRTD17,DYNLT2B,phenotypeMap.approvedGeneSymbols,617405,617353,
15,ODG6,NUP107,phenotypeMap.approvedGeneSymbols,618078,607617,
16,MCPH13,CENPE,phenotypeMap.approvedGeneSymbols,616051,117143,
17,HPE14,PLCH1,phenotypeMap.approvedGeneSymbols,619895,612835,
18,BBS13,MKS1,phenotypeMap.approvedGeneSymbols,615990,609883,
19,GACI2,ENSG00000091262,phenotypeMap.ensemblIDs,614473,603234,
20,SSS4,ENSG00000172354,phenotypeMap.ensemblIDs,619464,139390,
21,BMIQ12,ENSG00000175426,phenotypeMap.ensemblIDs,612362,162150,
22,C4AD,ENSG00000244731,phenotypeMap.ensemblIDs,614380,120810,
23,LWD,ENSG00000185960,phenotypeMap.ensemblIDs,127300,312865,
24,LWD,ENSG00000185960,phenotypeMap.ensemblIDs,127300,400020,
25,CTX,ENSG00000135929,phenotypeMap.ensemblIDs,213700,606530,
26,ANXD3,ENSG00000163608,phenotypeMap.ensemblIDs,618853,617089,
27,SEMDX,ENSG00000182492,phenotypeMap.ensemblIDs,300106,301870,
28,SMMCI,ENSG00000164690,phenotypeMap.ensemblIDs,147250,600725,
29,MYOCL1,ENSG00000140939,phenotypeMap.ensemblIDs,614937,605235,
30,CPPB1,ENSG00000116014,phenotypeMap.ensemblIDs,176400,604161,
31,FACTOR X DEFICIENCY,ENSG00000126218,phenotypeMap.ensemblIDs,227600,613872,
32,HLASA,ENSG00000011376,phenotypeMap.ensemblIDs,617021,604544,
33,SRTD17,ENSG00000213123,phenotypeMap.ensemblIDs,617405,617353,
34,ODG6,ENSG00000111581,phenotypeMap.ensemblIDs,618078,607617,
35,MCPH13,ENSG00000138778,phenotypeMap.ensemblIDs,616051,117143,
36,HPE14,ENSG00000114805,phenotypeMap.ensemblIDs,619895,612835,
37,BBS13,ENSG00000011143,phenotypeMap.ensemblIDs,615990,609883,
38,ARVD11,DSC2,phenotypeMap.approvedGeneSymbols,610476,125645,
39,ARVD11,DSC2,phenotypeMap.approvedGeneSymbols,610476,125645,
40,CTRCT11,PITX3,phenotypeMap.approvedGeneSymbols,610623,602669,
41,CTRCT11,PITX3,phenotypeMap.approvedGeneSymbols,610623,602669,
42,UCMD1,COL6A3,phenotypeMap.approvedGeneSymbols,254090,120250,
43,UCMD1,COL6A1,phenotypeMap.approvedGeneSymbols,254090,120220,
44,UCMD1,COL6A2,phenotypeMap.approvedGeneSymbols,254090,120240,
45,GLM1,IDH1,phenotypeMap.approvedGeneSymbols,137800,147700,
46,GLM1,TP53,phenotypeMap.approvedGeneSymbols,137800,191170,
47,GLM1,ERBB2,phenotypeMap.approvedGeneSymbols,137800,164870,
48,ARVD11,ENSG00000134755,phenotypeMap.ensemblIDs,610476,125645,
49,ARVD11,ENSG00000134755,phenotypeMap.ensemblIDs,610476,125645,
50,CTRCT11,ENSG00000107859,phenotypeMap.ensemblIDs,610623,602669,
51,CTRCT11,ENSG00000107859,phenotypeMap.ensemblIDs,610623,602669,
52,UCMD1,ENSG00000163359,phenotypeMap.ensemblIDs,254090,120250,
53,UCMD1,ENSG00000142156,phenotypeMap.ensemblIDs,254090,120220,
54,UCMD1,ENSG00000142173,phenotypeMap.ensemblIDs,254090,120240,
55,GLM1,ENSG00000138413,phenotypeMap.ensemblIDs,137800,147700,
56,GLM1,ENSG00000141510,phenotypeMap.ensemblIDs,137800,191170,
57,GLM1,ENSG00000141736,phenotypeMap.ensemblIDs,137800,164870,
